bounty,disclosed date from current date,reported from to,severity,status,title,upvote
disclosed about 1 day ago,By yvvdwf to GitLab,Resolved,"$33,510.00",Critical,RCE via github import,32
disclosed about 1 day ago,By yvvdwf to GitLab,Resolved,"$10,270.00",High,CSP-bypass XSS in project settings page,21
disclosed about 1 day ago,By yvvdwf to GitLab,Resolved,"$6,580.00",High,XSS: `v-safe-html` is not safe enough,13
disclosed about 1 day ago,By cryptopone to GitLab,Resolved,"$13,950.00",High,New /add_contacts /remove_contacts quick commands susseptible to XSS from Customer Contact firstname/lastname fields,15
disclosed 13 days ago,By legit-security to GitLab,Resolved,"$7,640.00",High,DOS via issue preview,20
,By otoyyy to GitLab,Resolved,disclosed 13 days ago,Low,Path paths and file disclosure vulnerabilities at influxdb.quality.gitlab.net,5
disclosed 13 days ago,By legit-security to GitLab,Resolved,"$2,300.00",Medium,DOS via move_issue,15
disclosed 13 days ago,By vakzz to GitLab,Resolved,"$22,300.00",Medium,RepositoryPipeline allows importing of local git repos,56
disclosed about 1 month ago,By vakzz to GitLab,Resolved,"$33,510.00",Critical,Remote Command Execution via Github import,100
disclosed 2 months ago,By joaxcar to GitLab,Resolved,"$8,690.00",High,Content injection in Jira issue title enabling sending arbitrary POST request as victim,44
disclosed 2 months ago,By joaxcar to GitLab,Resolved,"$1,990.00",Medium,Unauthenticated IP allowlist bypass when accessing job artifacts through gitlab pages at `{group_id}.gitlab.io`,9
disclosed 2 months ago,By joaxcar to GitLab,Resolved,"$13,950.00",High,XSS in ZenTao integration affecting self hosted instances without strict CSP,68
,By pullrequest to GitLab,Not-applicable,disclosed 2 months ago,None,No Restriction on password,1
,By afewgoats to GitLab,Resolved,disclosed 2 months ago,Medium,ReDoS in net/http affects webhooks: Sidekiq job stuck at 100% CPU for a year,8
disclosed 2 months ago,By vakzz to GitLab,Resolved,"$33,510.00",Critical,RCE via the DecompressedArchiveSizeValidator and Project BulkImports (behind feature flag),100
